,id,title,genres,keywords,budget,revenue,popularity,vote_average,vote_count,runtime,release_date,original_language,production_countries,production_companies,cast,crew
10,24,Kill Bill: Vol. 1,"['Action', 'Crime']","['japan', 'coma', 'martial arts', 'kung fu', 'underworld', 'yakuza', 'sword', 'bride', 'revenge', 'gore', 'blood', 'wedding', 'samurai sword', 'part animation']",30000000,180949000,79.75,7.70,4949,111,2003,en,['United States of America'],"['Miramax Films', 'A Band Apart', 'Super Cool ManChu']","['Uma Thurman', 'Lucy Liu', 'Vivica A. Fox', 'Daryl Hannah', 'David Carradine', 'Michael Madsen', 'Julie Dreyfus', 'Chiaki Kuriyama', 'Sonny Chiba', 'Gordon Liu Chia-Hui']",['Quentin Tarantino']
11,25,Jarhead,"['Drama', 'War']","['sniper', 'marine corps', 'saudi arabia', 'petrol', 'u.s. marine']",72000000,96889998,32.23,6.60,765,125,2005,en,"['Germany', 'United States of America']","['Universal Pictures', 'Neal Street Productions', 'Red Wagon Entertainment', 'Motion Picture KAPPA Produktionsgesellschaft']","['Jamie Foxx', 'Jake Gyllenhaal', 'Scott MacDonald', 'Lucas Black', 'Peter Sarsgaard', 'Laz Alonso', 'Chris Cooper', 'Brian Geraghty', 'Damion Poitier', 'John Krasinski']",['Sam Mendes']
12,28,Apocalypse Now,"['Drama', 'War']","['guerrilla', 'river', 'vietnam', 'vietcong', 'cambodia', 'army', 'insanity', 'tribe', 'jungle', 'apocalypse', 'death']",31500000,89460381,49.97,8.00,2055,153,1979,en,['United States of America'],"['United Artists', 'Zoetrope Studios']","['Martin Sheen', 'Marlon Brando', 'Robert Duvall', 'Frederic Forrest', 'Sam Bottoms', 'Laurence Fishburne', 'Albert Hall', 'Harrison Ford', 'Dennis Hopper', 'G. D. Spradlin']",['Francis Ford Coppola']
13,33,Unforgiven,['Western'],"['prostitute', 'sheriff', 'bounty', 'regret', 'right and justice', 'revenge', 'mutilation', 'one last job', 'reputation']",14000000,159157447,37.38,7.70,1113,131,1992,en,['United States of America'],"['Malpaso Productions', 'Warner Bros.']","['Clint Eastwood', 'Gene Hackman', 'Morgan Freeman', 'Richard Harris', 'Jaimz Woolvett', 'Anna Levine', 'Saul Rubinek', 'Frances Fisher', 'David Mucci', 'Rob Campbell']",['Clint Eastwood']
14,35,The Simpsons Movie,"['Animation', 'Comedy', 'Family']","['father son relationship', 'lake', 'garbage', 'pig', 'pollution', 'quarantine', 'alcoholism', 'love', 'alaska', 'dysfunctional family', 'dysfunctional marriage', 'ecology', 'first love', 'duringcreditsstinger']",75000000,527068851,46.88,6.90,2264,87,2007,en,['United States of America'],"['Gracie Films', 'Twentieth Century Fox Film Corporation']","['Dan Castellaneta', 'Julie Kavner', 'Nancy Cartwright', 'Yeardley Smith', 'Hank Azaria', 'Harry Shearer', 'Kelsey Grammer', 'Maile Flanagan', 'Pamela Hayden', 'Marcia Wallace']",['David Silverman']
15,38,Eternal Sunshine of the Spotless Mind,"['Science Fiction', 'Drama', 'Romance']","['deja vu', 'regret', 'jealousy', 'amnesia', 'dream', 'operation', 'relationship problems', 'love', 'memory', 'brainwashing', 'relationship', 'heartbreak', 'nonlinear timeline', 'bittersweet']",20000000,72258126,56.48,7.90,3652,108,2004,en,['United States of America'],"['Anonymous Content', 'This Is That Productions', 'Focus Features']","['Jim Carrey', 'Kate Winslet', 'Kirsten Dunst', 'Mark Ruffalo', 'Elijah Wood', 'Tom Wilkinson', 'Jane Adams', 'David Cross', ""Deirdre O'Connell"", 'Thomas Jay Ryan']",['Michel Gondry']
16,55,Amores perros,"['Drama', 'Thriller']","['homeless person', 'mexico city', 'daughter', 'secret love', 'dogfight', 'money', 'dog', 'nonlinear timeline', 'multiple storylines', 'new mexican cinema']",2000000,20908467,23.28,7.60,521,154,2000,es,['Mexico'],"['Altavista Films', 'Zeta Film']","['Gael García Bernal', 'Vanessa Bauche', 'Goya Toledo', 'Alvaro Guerrero', 'Emilio Echevarría', 'Jorge Salinas', 'Rodrigo Murray', 'Humberto Busto', 'Gerardo Campbell', 'Rosa María Bianchi']",['Alejandro González Iñárritu']
17,58,Pirates of the Caribbean: Dead Man's Chest,"['Adventure', 'Fantasy', 'Action']","['witch', 'fortune teller', 'bondage', 'exotic island', 'monster', 'captain', 'card game', 'east india trading company', 'compass', 'ship', 'daughter', 'pirate', 'swashbuckler', 'aftercreditsstinger']",200000000,1065659812,145.85,7.00,5246,151,2006,en,"['Jamaica', 'United States of America', 'Bahamas', 'Dominica']","['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']","['Johnny Depp', 'Orlando Bloom', 'Keira Knightley', 'Stellan Skarsgård', 'Bill Nighy', 'Jack Davenport', 'Kevin McNally', 'Jonathan Pryce', 'Lee Arenberg', 'Mackenzie Crook']",['Gore Verbinski']
18,59,A History of Violence,"['Drama', 'Thriller', 'Crime']","['robbery', 'double life', 'dual identity', 'small town', 'indiana', 'distrust', 'fight', 'self-defense', 'marriage', 'family relationships', 'mistaken identity', 'diner', 'lawyer', 'mobster', 'violence', 'attempted robbery']",32000000,60740827,34.63,6.90,832,96,2005,en,"['United States of America', 'Canada', 'Germany']","['New Line Cinema', 'DC Comics', 'BenderSpink']","['Viggo Mortensen', 'Maria Bello', 'Heidi Hayes', 'Ashton Holmes', 'William Hurt', 'Ed Harris', 'Peter MacNeill', 'Stephen McHattie', 'Greg Bryk', 'Kyle Schmid']",['David Cronenberg']
19,62,2001: A Space Odyssey,"['Science Fiction', 'Mystery', 'Adventure']","['moon', 'jupiter', 'artificial intelligence', 'man vs machine', 'technology', 'super computer', 'human being', 'space travel', 'space mission', 'moon base', 'astronaut', 'evolution', 'space station']",10500000,68700000,86.20,7.90,2998,149,1968,en,"['United States of America', 'United Kingdom']","['Stanley Kubrick Productions', 'Metro-Goldwyn-Mayer (MGM)']","['Keir Dullea', 'Gary Lockwood', 'William Sylvester', 'Douglas Rain', 'Daniel Richter', 'Leonard Rossiter', 'Margaret Tyzack', 'Robert Beatty', 'Sean Sullivan', 'Frank Miller']",['Stanley Kubrick']
20,65,8 Mile,['Drama'],"['individual', 'street gang', 'adolescence', 'rap music', 'hip-hop', 'trailer park', 'ethnic stereotype', 'single', 'detroit']",41000000,215000000,32.80,6.80,1626,110,2002,en,['United States of America'],"['Imagine Entertainment', 'Mikona Productions GmbH & Co. KG']","['Eminem', 'Mekhi Phifer', 'Brittany Murphy', 'Kim Basinger', 'Michael Shannon', 'Taryn Manning', 'Anthony Mackie', ""De'Angelo Wilson"", 'Evan Jones', 'Omar Benson Miller']",['Curtis Hanson']
21,66,Absolute Power,"['Crime', 'Drama', 'Thriller']","['corruption', 'assassination', 'washington d.c.', 'rape', 'white house', 'usa president', 'daughter', 'government', 'suspense', 'secret service', 'secret service agent']",50000000,50068310,13.58,6.40,223,121,1997,en,['United States of America'],"['Columbia Pictures', 'Castle Rock Entertainment', 'Malpaso Productions']","['Clint Eastwood', 'Gene Hackman', 'Ed Harris', 'Scott Glenn', 'Laura Linney', 'Judy Davis', 'Dennis Haysbert', 'Alison Eastwood', 'Melora Hardin', 'E.G. Marshall']",['Clint Eastwood']
22,68,Brazil,"['Comedy', 'Science Fiction']","['bureaucracy', 'police state', 'terror', 'great britain', 'dream', 'dystopia', 'government', 'anarchic comedy']",15000000,0,41.09,7.50,861,132,1985,en,['United Kingdom'],['Embassy International Pictures'],"['Jonathan Pryce', 'Robert De Niro', 'Katherine Helmond', 'Ian Holm', 'Bob Hoskins', 'Michael Palin', 'Ian Richardson', 'Terry Gilliam', 'Peter Vaughan', 'Kim Greist']",['Terry Gilliam']
23,69,Walk the Line,"['Drama', 'Music', 'Romance']","['germany', 'prison', 'music record', 'adultery', 'country music', 'guitar', 'loss of brother', 'concert', 'marriage', 'single', 'accident', '1960s']",28000000,186438883,35.58,7.30,718,136,2005,en,"['Germany', 'United States of America']","['Tree Line Films', 'Konrad Pictures', 'Catfish Productions', 'Fox 2000 Pictures', 'Mars Media Beteiligungs']","['Joaquin Phoenix', 'Reese Witherspoon', 'Ginnifer Goodwin', 'Robert Patrick', 'Tyler Hilton', 'Johnathan Rice', 'Shooter Jennings', 'Waylon Payne', 'Dallas Roberts', 'Dan John Miller']",['James Mangold']
24,70,Million Dollar Baby,['Drama'],"['transporter', 'suicide attempt', 'strong woman', 'boxer', 'dying and death', 'stroke of fate', 'training', 'advancement', 'sport', 'female protagonist', 'boxing trainer']",30000000,216763646,70.46,7.70,2439,132,2004,en,['United States of America'],"['Lakeshore Entertainment', 'Malpaso Productions', 'Epsilon Motion Pictures', 'Warner Bros.', 'Albert S. Ruddy Productions']","['Clint Eastwood', 'Hilary Swank', 'Morgan Freeman', 'Jay Baruchel', 'Mike Colter', 'Lucia Rijker', ""Brían F. O'Byrne"", 'Anthony Mackie', 'Margo Martindale', 'Riki Lindhome']",['Clint Eastwood']
25,71,Billy Elliot,"['Drama', 'Comedy', 'Music']","[""workers' quarter"", 'strike', 'northern england', 'scholarship', 'ballet']",5000000,110000000,20.43,7.40,750,110,2000,en,"['France', 'United Kingdom']","['BBC Films', 'Tiger Aspect Productions', 'StudioCanal', 'Arts Council of England', 'Working Title Films', 'WT2 Productions']","['Jamie Bell', 'Julie Walters', 'Jean Heywood', 'Jamie Draven', 'Gary Lewis', 'Stephen Mangan', 'Patrick Malahide', 'Stuart Wells', 'Tracey Wilkinson', 'Zoë Bell']",['Stephen Daldry']
26,73,American History X,['Drama'],"['usa', 'neo-nazi', 'prison', 'skinhead', 'brother brother relationship', 'rape', 'fascism', 'brother', 'basketball', 'jail', 'school', 'swastika', 'los angeles', 'family', 'hate', 'xenophobia', 'nazism']",20000000,23875127,73.57,8.20,3016,119,1998,en,['United States of America'],"['New Line Cinema', 'The Turman-Morrissey Company', 'Savoy Pictures']","['Edward Norton', 'Edward Furlong', ""Beverly D'Angelo"", 'Avery Brooks', 'Jennifer Lien', 'Ethan Suplee', 'Stacy Keach', 'Fairuza Balk', 'Elliott Gould', 'Guy Torry']",['Tony Kaye']
27,74,War of the Worlds,"['Adventure', 'Thriller', 'Science Fiction']","['post traumatic stress  disorder', 'new jersey', 'airplane', 'dystopia', 'daughter', 'apocalypse', 'alien invasion', 'human subjugation']",132000000,591739379,48.57,6.20,2322,116,2005,en,['United States of America'],"['Paramount Pictures', 'DreamWorks SKG', 'Cruise/Wagner Productions', 'Amblin Entertainment']","['Tom Cruise', 'Dakota Fanning', 'Miranda Otto', 'Justin Chatwin', 'Tim Robbins', 'Camillia Sanes', 'John Scurti', 'Morgan Freeman', 'Takayo Fischer', 'Yul Vazquez']",['Steven Spielberg']
28,75,Mars Attacks!,"['Comedy', 'Fantasy', 'Science Fiction']","['saving the world', 'total destruction', 'white house', 'mars', 'usa president', 'cataclysm', 'lasergun', 'ambassador', 'congress', 'pest', 'flying saucer']",70000000,101371017,44.09,6.10,1509,106,1996,en,['United States of America'],['Tim Burton Productions'],"['Jack Nicholson', 'Glenn Close', 'Annette Bening', 'Pierce Brosnan', 'Danny DeVito', 'Martin Short', 'Sarah Jessica Parker', 'Michael J. Fox', 'Rod Steiger', 'Tom Jones']",['Tim Burton']
29,76,Before Sunrise,"['Drama', 'Romance']","['dialogue', 'sunrise', 'talking', 'soulmates', 'walking', 'austria', 'traveller', 'bittersweet', 'romantic', 'vienna']",2500000,5535405,23.67,7.70,959,105,1995,en,"['Austria', 'Switzerland', 'United States of America']",['Detour Film Production'],"['Ethan Hawke', 'Julie Delpy', 'Andrea Eckert', 'Hanno Pöschl', 'Karl Bruckschwaiger', 'Tex Rubinowitz', 'Erni Mangold', 'Dominik Castell', 'Haymon Maria Buttinger', 'Harold Waiglein']",['Richard Linklater']
30,77,Memento,"['Mystery', 'Thriller']","['individual', 'tattoo', 'waitress', 'amnesia', 'motel', 'insurance salesman', 'revenge', 'memory loss', 'polaroid', 'flashback', 'neo-noir']",9000000,39723096,60.72,8.10,4028,113,2000,en,['United States of America'],"['Summit Entertainment', 'Newmarket Capital Group', 'Team Todd', 'I Remember Productions']","['Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano', 'Mark Boone Junior', 'Stephen Tobolowsky', 'Harriet Sansom Harris', 'Callum Keith Rennie', 'Larry Holden', 'Jorja Fox', 'Russ Fega']",['Christopher Nolan']
31,78,Blade Runner,"['Science Fiction', 'Drama', 'Thriller']","['artificial intelligence', 'man vs machine', 'cyborg', 'bounty hunter', 'android', 'dystopia', 'genetics', 'fugitive', 'cyberpunk', 'los angeles', 'tech noir', 'neo-noir']",28000000,33139618,94.06,7.90,3509,117,1982,en,"['United States of America', 'Hong Kong', 'United Kingdom']","['Shaw Brothers', 'Warner Bros.', 'The Ladd Company']","['Harrison Ford', 'Rutger Hauer', 'Sean Young', 'Edward James Olmos', 'M. Emmet Walsh', 'Daryl Hannah', 'William Sanderson', 'Brion James', 'Joe Turkel', 'Joanna Cassidy']",['Ridley Scott']
32,79,Hero,"['Drama', 'Adventure', 'Action', 'History']","['countryside', 'loss of lover', 'right and justice']",31000000,177394432,23.61,7.20,635,99,2002,zh,['China'],"['Beijing New Picture Film Co. Ltd.', 'China Film Co-Production Corporation']","['Jet Li', 'Tony Leung Chiu-Wai', 'Maggie Cheung', 'Donnie Yen', 'Zhang Ziyi', 'Chen Dao-Ming', 'Liu Zhong Yuan', 'Zheng Tia Yong', 'Yan Qin', 'Chang Xiao Yang']",['Zhang Yimou']
33,80,Before Sunset,"['Drama', 'Romance']","['paris', 'journalist', 'dialogue', 'talking', 'soulmates', 'walking', 'bookshop', ""love of one's life"", 'author']",2700000,15992615,14.80,7.60,718,80,2004,en,['United States of America'],"['Castle Rock Entertainment', 'Detour Film Production', 'Warner Independent Pictures (WIP)']","['Ethan Hawke', 'Julie Delpy', 'Vernon Dobtcheff', 'Louise Lemoine Torrès', 'Mariane Plasteig', 'Diabolo', 'Denis Evrard', 'Albert Delpy', 'Marie Pillet', 'Rodolphe Pauly']",['Richard Linklater']
34,83,Open Water,"['Drama', 'Thriller']","['diving', 'cataclysm', 'nightmare', 'panic', 'scuba diving', 'shark', 'scuba']",130000,54667954,15.61,5.40,315,79,2004,en,['United States of America'],['Plunge Pictures LLC'],"['Blanchard Ryan', 'Daniel Travis', 'Saul Stein', 'Michael E. Williamson', 'Christina Zenato', 'John Charles']",['Chris Kentis']
35,85,Raiders of the Lost Ark,"['Adventure', 'Action']","['saving the world', 'riddle', 'himalaya', 'cairo', 'moses', 'egypt', 'whip', 'treasure', 'medallion', 'leather jacket', 'nazis', 'hat', 'ark of the covenant', 'ten commandments', 'treasure hunt', 'excavation', 'swastika', 'archaeologist', 'indiana jones', 'archeology\xa0']",18000000,389925971,68.16,7.70,3854,115,1981,en,['United States of America'],"['Lucasfilm', 'Paramount Pictures']","['Harrison Ford', 'Karen Allen', 'Paul Freeman', 'Ronald Lacey', 'John Rhys-Davies', 'Denholm Elliott', 'Wolf Kahler', 'Anthony Higgins', 'Vic Tablian', 'Don Fellows']",['Steven Spielberg']
36,87,Indiana Jones and the Temple of Doom,"['Adventure', 'Action']","['riddle', 'treasure', 'heart', 'skeleton', 'treasure hunt', 'torture', 'violence', 'monkey', 'cult film', 'archaeologist', 'conveyor belt', 'rope bridge', 'indiana jones', 'archeology\xa0']",28000000,333000000,66.98,7.10,2781,118,1984,en,['United States of America'],"['Lucasfilm', 'Paramount Pictures']","['Harrison Ford', 'Kate Capshaw', 'Jonathan Ke Quan', 'Amrish Puri', 'Roshan Seth', 'Philip Stone', 'Roy Chiao', 'David Yip', 'Ric Young', 'Chua Kah Joo']",['Steven Spielberg']
37,89,Indiana Jones and the Last Crusade,"['Adventure', 'Action']","['saving the world', 'venice', 'holy grail', 'library', 'riddle', 'father son relationship', 'whip', 'treasure', 'nazis', 'entrapment', 'crusader', 'treasure hunt', 'escape', 'panzer', 'order of the templars', 'archaeologist', 'indiana jones', 'archeology\xa0']",48000000,474171806,80.97,7.60,3152,127,1989,en,['United States of America'],"['Lucasfilm', 'Paramount Pictures']","['Harrison Ford', 'Sean Connery', 'Denholm Elliott', 'Alison Doody', 'John Rhys-Davies', 'Julian Glover', 'River Phoenix', 'Michael Byrne', 'Kevork Malikyan', 'Robert Eddison']",['Steven Spielberg']
38,90,Beverly Hills Cop,"['Action', 'Comedy', 'Crime']","['california', 'showdown', 'undercover', 'strip club', 'investigation', 'weapon', 'police', 'smuggling', 'swimming pool', 'gunfight', 'mansion', 'los angeles', 'foot chase', 'art gallery', 'car chase', 'warehouse', 'beverly hills', 'buddy comedy', 'country club', 'maverick cop', 'detroit michigan', 'damsel in distress', 'bar fight']",15000000,316360478,29.84,6.80,961,105,1984,en,['United States of America'],"['Paramount Pictures', 'Eddie Murphy Productions']","['Eddie Murphy', 'Judge Reinhold', 'John Ashton', 'Ronny Cox', 'Paul Reiser', 'Gilbert R. Hill', 'Lisa Eilbacher', 'Steven Berkoff', 'James Russo', 'Jonathan Banks']",['Martin Brest']
39,95,Armageddon,"['Action', 'Thriller', 'Science Fiction', 'Adventure']","['saving the world', 'paris', 'moon', 'cataclysm', 'asteroid', 'self sacrifice', 'nasa', 'space marine', 'loss of father', 'daughter', 'space', 'wedding', 'astronaut', 'eiffel tower paris', 'duringcreditsstinger', 'disaster movie']",140000000,553799566,58.49,6.40,2482,151,1998,en,['United States of America'],"['Jerry Bruckheimer Films', 'Touchstone Pictures', 'Valhalla Motion Pictures']","['Bruce Willis', 'Billy Bob Thornton', 'Ben Affleck', 'Liv Tyler', 'Will Patton', 'Steve Buscemi', 'William Fichtner', 'Michael Clarke Duncan', 'Peter Stormare', 'Owen Wilson']",['Michael Bay']
40,96,Beverly Hills Cop II,"['Action', 'Comedy', 'Crime']","['smuggling of arms', 'detective', 'intensive care', 'undercover', 'strip club', 'armored car', 'investigation', 'police', 'swimming pool', 'sequel', 'shootout', 'gunfight', 'los angeles', 'explosion', 'violence', 'car chase', 'detroit', 'beverly hills', 'buddy cop', 'oil field']",20000000,299965036,25.28,6.10,613,100,1987,en,['United States of America'],"['Paramount Pictures', 'Eddie Murphy Productions', 'Don Simpson/Jerry Bruckheimer Films']","['Eddie Murphy', 'Judge Reinhold', 'John Ashton', 'Ronny Cox', 'Paul Reiser', 'Gilbert R. Hill', 'Brigitte Nielsen', 'Dean Stockwell', 'Jürgen Prochnow', 'Allen Garfield']",['Tony Scott']
41,98,Gladiator,"['Action', 'Drama', 'Adventure']","['rome', 'gladiator', 'arena', 'senate', 'roman empire', 'emperor', 'slavery', 'battlefield', 'blood', 'ancient world', 'father daughter relationship', 'combat', 'mother son relationship', 'dream sequence', 'chariot']",103000000,457640427,95.30,7.90,5439,155,2000,en,"['United Kingdom', 'United States of America']","['DreamWorks SKG', 'Universal Pictures', 'Scott Free Productions', 'Red Wagon Entertainment', 'Mill Film', 'C & L', 'Dawliz']","['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen', 'Oliver Reed', 'Richard Harris', 'Derek Jacobi', 'Djimon Hounsou', 'David Schofield', 'John Shrapnel', 'Tomas Arana']",['Ridley Scott']
42,100,"Lock, Stock and Two Smoking Barrels","['Comedy', 'Crime']","['ambush', 'alcohol', 'shotgun', 'tea', 'joint', 'machismo', 'cocktail', 'rifle', 'marijuana', 'cockney accent', 'pot smoking', 'anger', 'carjacking', 'piano']",1350000,3897569,16.03,7.50,1648,105,1998,en,['United Kingdom'],"['Handmade Films Ltd.', 'Summit Entertainment', 'PolyGram Filmed Entertainment', 'SKA Films', 'The Steve Tisch Company']","['Jason Flemyng', 'Dexter Fletcher', 'Nick Moran', 'Jason Statham', 'Vinnie Jones', 'Sting', 'Steven Mackintosh', 'Nicholas Rowe', 'Lenny McLean', 'P.H. Moriarty']",['Guy Ritchie']
43,103,Taxi Driver,"['Crime', 'Drama']","['vietnam veteran', 'taxi', 'obsession', 'drug dealer', 'night shift', 'vigilante', 'alienation', 'misanthrope', 'shot to death', 'illegal prostitution', 'loner']",1300000,28262574,58.85,8.00,2535,114,1976,en,['United States of America'],"['Columbia Pictures Corporation', 'Italo/Judeo Productions', 'Bill/Phillips']","['Robert De Niro', 'Cybill Shepherd', 'Harvey Keitel', 'Jodie Foster', 'Peter Boyle', 'Leonard Harris', 'Albert Brooks', 'Diahnne Abbott', 'Gino Ardito', 'Martin Scorsese']",['Martin Scorsese']
44,104,Run Lola Run,"['Action', 'Drama', 'Thriller']","['berlin', 'casino', 'nun', 'red hair', 'running', 'homeless person', 'supermarket', 'ambulance', 'subway', 'daughter', 'money', 'fate']",1530000,7267585,27.37,7.20,664,81,1998,de,['Germany'],"['X-Filme Creative Pool', 'Westdeutscher Rundfunk (WDR)']","['Franka Potente', 'Moritz Bleibtreu', 'Herbert Knaup', 'Nina Petri', 'Armin Rohde', 'Joachim Król', 'Heino Ferch', 'Lars Rudolph', 'Ludger Pistor', 'Sebastian Schipper']",['Tom Tykwer']
